device_id,shift_code,event_id,event_start_time,event_end_time
85,A,30466,"2023-10-17 06:00:11","2023-10-17 06:01:00"
85,A,31009,"2023-10-17 06:01:00","2023-10-17 06:05:00"
85,A,59119,"2023-10-17 09:10:01","2023-10-17 11:30:00"
85,A,4485,"2023-10-17 07:01:15","2023-10-17 07:01:15"
85,A,74478,"2023-10-17 14:29:11","2023-10-17 14:30:00"
85,A,74554,"2023-10-17 14:25:00","2023-10-17 14:29:00"
91,A,74232,"2023-10-17 12:00:03","2023-10-17 14:25:00"
92,A,31000,"2023-10-17 06:01:00","2023-10-17 06:05:00"
92,A,46841,"2023-10-17 07:08:41","2023-10-17 09:00:00"
92,A,60918,"2023-10-17 11:00:00","2023-10-17 12:00:00"
85,A,30818,"2023-10-17 06:00:00","2023-10-17 06:01:00"
85,A,60923,"2023-10-17 11:00:00","2023-10-17 12:00:00"
85,B,74730,"2023-10-17 14:30:00","2023-10-17 14:35:00"
85,A,74730,"2023-10-17 14:29:00","2023-10-17 14:30:00"
85,A,46837,"2023-10-17 06:05:11","2023-10-17 09:00:00"
85,A,47321,"2023-10-17 09:00:00","2023-10-17 09:10:00"
85,A,74205,"2023-10-17 12:00:03","2023-10-17 14:25:00"
91,A,30967,"2023-10-17 06:01:00","2023-10-17 06:05:00"
91,B,74704,"2023-10-17 14:30:00","2023-10-17 14:40:00"
91,A,74704,"2023-10-17 14:29:00","2023-10-17 14:30:00"
92,A,74233,"2023-10-17 12:00:03","2023-10-17 14:25:00"
91,A,47393,"2023-10-17 09:00:00","2023-10-17 09:10:00"
91,A,59120,"2023-10-17 09:10:01","2023-10-17 11:30:00"
91,A,60909,"2023-10-17 11:00:00","2023-10-17 12:00:00"
92,A,30470,"2023-10-17 06:00:09","2023-10-17 06:01:00"
92,A,30820,"2023-10-17 06:00:00","2023-10-17 06:01:00"
91,A,30469,"2023-10-17 06:00:03","2023-10-17 06:01:00"
91,A,31556,"2023-10-17 06:05:03","2023-10-17 06:10:11"
92,A,36834,"2023-10-17 06:05:09","2023-10-17 07:08:41"
91,A,46840,"2023-10-17 06:10:11","2023-10-17 09:00:00"
91,B,74499,"2023-10-17 14:30:00","2023-10-17 14:32:00"
91,A,74499,"2023-10-17 14:29:03","2023-10-17 14:30:00"
92,B,74686,"2023-10-17 14:30:00","2023-10-17 15:30:00"
92,A,74686,"2023-10-17 14:29:00","2023-10-17 14:30:00"
91,A,4469,"2023-10-17 07:01:15","2023-10-17 07:01:15"
91,A,30802,"2023-10-17 06:00:00","2023-10-17 06:01:00"
91,A,74557,"2023-10-17 14:25:00","2023-10-17 14:29:00"
92,A,74562,"2023-10-17 14:25:00","2023-10-17 14:29:00"
92,A,4497,"2023-10-17 07:01:15","2023-10-17 07:01:15"
92,A,47323,"2023-10-17 09:00:00","2023-10-17 09:10:00"
92,A,59121,"2023-10-17 09:10:01","2023-10-17 11:30:00"
92,A,74501,"2023-10-17 14:29:09","2023-10-17 14:30:00"
85,C,324,"2023-10-16 23:01:00","2023-10-16 23:05:00"
85,C,5119,"2023-10-17 00:00:00","2023-10-17 00:08:00"
85,C,21221,"2023-10-17 01:20:01","2023-10-17 04:00:00"
85,C,30336,"2023-10-17 05:59:11","2023-10-17 06:00:00"
85,C,8730,"2023-10-17 00:08:11","2023-10-17 01:00:00"
85,C,52,"2023-10-16 23:00:00","2023-10-16 23:01:00"
85,C,30732,"2023-10-17 05:55:00","2023-10-17 05:59:00"
85,A,30596,"2023-10-17 06:00:00","2023-10-17 06:03:00"
85,C,30596,"2023-10-17 05:59:00","2023-10-17 06:00:00"
85,C,66100,"2023-10-16 23:01:34","2023-10-16 23:01:34"
85,C,99825,"2023-10-16 23:00:11","2023-10-16 23:01:00"
85,C,4594,"2023-10-16 23:05:01","2023-10-17 00:00:00"
85,C,9213,"2023-10-17 01:00:00","2023-10-17 01:20:00"
85,C,30094,"2023-10-17 04:07:01","2023-10-17 05:55:00"
91,C,19,"2023-10-16 23:00:00","2023-10-16 23:01:00"
91,C,4617,"2023-10-16 23:05:01","2023-10-17 00:00:00"
91,C,21242,"2023-10-17 01:20:01","2023-10-17 04:00:00"
91,C,30109,"2023-10-17 04:07:01","2023-10-17 05:55:00"
91,A,30773,"2023-10-17 06:00:00","2023-10-17 06:01:00"
91,C,30773,"2023-10-17 05:55:00","2023-10-17 06:00:00"
92,C,4618,"2023-10-16 23:05:01","2023-10-17 00:00:00"
92,C,99832,"2023-10-16 23:00:09","2023-10-16 23:01:00"
91,C,99831,"2023-10-16 23:00:03","2023-10-16 23:01:00"
91,C,21818,"2023-10-17 04:00:00","2023-10-17 04:07:00"
91,C,30350,"2023-10-17 05:59:03","2023-10-17 06:00:00"
91,C,30627,"2023-10-17 05:59:00","2023-10-17 06:00:00"
92,C,30351,"2023-10-17 05:59:09","2023-10-17 06:00:00"
92,C,158,"2023-10-16 23:00:00","2023-10-16 23:01:00"
92,C,9201,"2023-10-17 01:00:00","2023-10-17 01:20:00"
92,C,21243,"2023-10-17 01:20:01","2023-10-17 04:00:00"
91,C,66116,"2023-10-16 23:01:34","2023-10-16 23:01:34"
92,C,8773,"2023-10-17 00:25:08","2023-10-17 01:00:00"
92,C,30731,"2023-10-17 05:55:00","2023-10-17 05:59:00"
91,C,301,"2023-10-16 23:01:00","2023-10-16 23:05:00"
91,C,8772,"2023-10-17 00:08:03","2023-10-17 01:00:00"
92,C,66034,"2023-10-16 23:01:34","2023-10-16 23:01:34"
92,C,316,"2023-10-16 23:01:00","2023-10-16 23:05:00"
92,C,5129,"2023-10-17 00:00:00","2023-10-17 00:08:00"
92,C,21875,"2023-10-17 04:00:00","2023-10-17 04:07:00"
92,C,30110,"2023-10-17 04:07:01","2023-10-17 05:55:00"
92,A,30591,"2023-10-17 06:00:00","2023-10-17 06:04:00"
92,C,30591,"2023-10-17 05:59:00","2023-10-17 06:00:00"
85,C,21901,"2023-10-17 04:00:00","2023-10-17 04:07:00"
91,C,5120,"2023-10-17 00:00:00","2023-10-17 00:08:00"
91,C,9209,"2023-10-17 01:00:00","2023-10-17 01:20:00"
92,C,6484,"2023-10-17 00:08:09","2023-10-17 00:25:08"
85,B,47424,"2023-10-17 15:01:58","2023-10-17 15:01:58"
85,B,74635,"2023-10-17 14:30:00","2023-10-17 14:31:00"
85,B,75041,"2023-10-17 14:31:00","2023-10-17 14:35:00"
85,B,80632,"2023-10-17 14:35:11","2023-10-17 16:00:00"
85,B,2591,"2023-10-17 20:00:11","2023-10-17 21:00:00"
85,B,80944,"2023-10-17 16:00:00","2023-10-17 16:08:00"
85,B,96956,"2023-10-17 19:30:02","2023-10-17 20:00:00"
85,B,12781,"2023-10-17 22:59:00","2023-10-17 23:00:00"
85,B,93014,"2023-10-17 18:30:00","2023-10-17 19:00:00"
85,B,94919,"2023-10-17 16:08:01","2023-10-17 19:30:00"
85,B,12538,"2023-10-17 22:59:11","2023-10-17 23:00:00"
85,B,12335,"2023-10-17 21:07:01","2023-10-17 22:55:00"
85,B,12806,"2023-10-17 22:55:00","2023-10-17 22:59:00"
85,B,3104,"2023-10-17 21:00:00","2023-10-17 21:07:00"
91,B,74500,"2023-10-17 14:30:03","2023-10-17 14:31:00"
91,B,94923,"2023-10-17 16:08:01","2023-10-17 19:30:00"
91,B,12742,"2023-10-17 22:59:00","2023-10-17 23:00:00"
92,B,93019,"2023-10-17 18:30:00","2023-10-17 19:00:00"
